item_id,target_word,correct_label,wrong_label,tutor1_policy,tutor1_example_word,tutor1_example_label,tutor2_policy,tutor2_example_word,tutor2_example_label,tutor3_policy,tutor3_example_word,tutor3_example_label
angelify,angelify,+ied,+d,llm_gpt5codex_nogold_freeform,study,+ied,suffix_similarity,vilify,+ied,llm_qwen8b_nogold_nonadaptive,dizzy,+ied
bury,bury,+ied,+d,llm_gpt5codex_nogold_freeform,cry,+ied,suffix_similarity,story,+ied,llm_qwen8b_nogold_nonadaptive,chivy,+ied
caddy,caddy,+ied,+d,llm_gpt5codex_nogold_freeform,carry,+ied,suffix_similarity,disembody,+ied,llm_qwen8b_nogold_nonadaptive,adlib,+consonant+ed
commify,commify,+ied,+d,llm_gpt5codex_nogold_freeform,try,+ied,suffix_similarity,vilify,+ied,llm_qwen8b_nogold_nonadaptive,chivy,+ied
esterify,esterify,+ied,+d,llm_gpt5codex_nogold_freeform,cry,+ied,suffix_similarity,vilify,+ied,llm_qwen8b_nogold_nonadaptive,dizzy,+ied
heroify,heroify,+ied,+d,llm_gpt5codex_nogold_freeform,study,+ied,suffix_similarity,vilify,+ied,llm_qwen8b_nogold_nonadaptive,dizzy,+ied
hinny,hinny,+ied,+d,llm_gpt5codex_nogold_freeform,carry,+ied,suffix_similarity,benny,+ied,llm_qwen8b_nogold_nonadaptive,dizzy,+ied
mellify,mellify,+ied,+d,llm_gpt5codex_nogold_freeform,try,+ied,suffix_similarity,vilify,+ied,llm_qwen8b_nogold_nonadaptive,dizzy,+ied
misqualify,misqualify,+ied,+d,llm_gpt5codex_nogold_freeform,study,+ied,suffix_similarity,vilify,+ied,llm_qwen8b_nogold_nonadaptive,chivy,+ied
necropsy,necropsy,+ied,+d,llm_gpt5codex_nogold_freeform,carry,+ied,suffix_similarity,bebusy,+ied,llm_qwen8b_nogold_nonadaptive,adlib,+consonant+ed
phenocopy,phenocopy,+ied,+d,llm_gpt5codex_nogold_freeform,carry,+ied,suffix_similarity,bespy,+ied,llm_qwen8b_nogold_nonadaptive,adlib,+consonant+ed
pillory,pillory,+ied,+d,llm_gpt5codex_nogold_freeform,try,+ied,suffix_similarity,story,+ied,llm_qwen8b_nogold_nonadaptive,chivy,+ied
plebify,plebify,+ied,+d,llm_gpt5codex_nogold_freeform,try,+ied,suffix_similarity,vilify,+ied,llm_qwen8b_nogold_nonadaptive,dizzy,+ied
premodify,premodify,+ied,+d,llm_gpt5codex_nogold_freeform,study,+ied,suffix_similarity,vilify,+ied,llm_qwen8b_nogold_nonadaptive,adlib,+consonant+ed
queerify,queerify,+ied,+d,llm_gpt5codex_nogold_freeform,carry,+ied,suffix_similarity,vilify,+ied,llm_qwen8b_nogold_nonadaptive,dizzy,+ied
recalcify,recalcify,+ied,+d,llm_gpt5codex_nogold_freeform,try,+ied,suffix_similarity,vilify,+ied,llm_qwen8b_nogold_nonadaptive,chivy,+ied
refry,refry,+ied,+d,llm_gpt5codex_nogold_freeform,carry,+ied,suffix_similarity,story,+ied,llm_qwen8b_nogold_nonadaptive,chivy,+ied
rejustify,rejustify,+ied,+d,llm_gpt5codex_nogold_freeform,carry,+ied,suffix_similarity,vilify,+ied,llm_qwen8b_nogold_nonadaptive,dizzy,+ied
remarry,remarry,+ied,+d,llm_gpt5codex_nogold_freeform,carry,+ied,suffix_similarity,recarry,+ied,llm_qwen8b_nogold_nonadaptive,chivy,+ied
unnotify,unnotify,+ied,+d,llm_gpt5codex_nogold_freeform,carry,+ied,suffix_similarity,vilify,+ied,llm_qwen8b_nogold_nonadaptive,adlib,+consonant+ed
coapply,coapply,+ied,+d,llm_gpt5codex_nogold_freeform,carry,+ied,suffix_similarity,lichtly,+ied,llm_qwen8b_nogold_nonadaptive,coif,+consonant+ed
dogsbody,dogsbody,+ied,+d,llm_gpt5codex_nogold_freeform,bake,+d,suffix_similarity,disembody,+ied,llm_qwen8b_nogold_nonadaptive,chivy,+ied
epoxy,epoxy,+ied,+d,llm_gpt5codex_nogold_freeform,enjoy,+ed,suffix_similarity,proxy,+ied,llm_qwen8b_nogold_nonadaptive,adlib,+consonant+ed
misapply,misapply,+ied,+d,llm_gpt5codex_nogold_freeform,apply,+ied,suffix_similarity,lichtly,+ied,llm_qwen8b_nogold_nonadaptive,adlib,+consonant+ed
travesty,travesty,+ied,+d,llm_gpt5codex_nogold_freeform,walk,+ed,suffix_similarity,sooty,+ied,llm_qwen8b_nogold_nonadaptive,dizzy,+ied
atrophy,atrophy,+ied,+d,llm_gpt5codex_nogold_freeform,cry,+ied,suffix_similarity,hypertrophy,+ied,llm_qwen8b_nogold_nonadaptive,dizzy,+ied
babify,babify,+ied,+d,llm_gpt5codex_nogold_freeform,study,+ied,suffix_similarity,vilify,+ied,llm_qwen8b_nogold_nonadaptive,baby,+ied
colly,colly,+ied,+d,llm_gpt5codex_nogold_freeform,try,+ied,suffix_similarity,really,+ied,llm_qwen8b_nogold_nonadaptive,dizzy,+ied
gentrify,gentrify,+ied,+d,llm_gpt5codex_nogold_freeform,copy,+ied,suffix_similarity,vilify,+ied,llm_qwen8b_nogold_nonadaptive,dizzy,+ied
misclassify,misclassify,+ied,+d,llm_gpt5codex_nogold_freeform,study,+ied,suffix_similarity,vilify,+ied,llm_qwen8b_nogold_nonadaptive,conjecture,+d
