item_id,question_concept_cluster,wrong_concept,subject_name,question_text,option_A_text,option_A_rationale,option_A_is_correct,option_B_text,option_B_rationale,option_B_is_correct,option_C_text,option_C_rationale,option_C_is_correct,option_D_text,option_D_rationale,option_D_is_correct,tutor1_policy,tutor1_question_text,tutor1_option_A_text,tutor1_option_A_rationale,tutor1_option_A_is_correct,tutor1_option_B_text,tutor1_option_B_rationale,tutor1_option_B_is_correct,tutor1_option_C_text,tutor1_option_C_rationale,tutor1_option_C_is_correct,tutor1_option_D_text,tutor1_option_D_rationale,tutor1_option_D_is_correct,tutor2_policy,tutor2_question_text,tutor2_option_A_text,tutor2_option_A_rationale,tutor2_option_A_is_correct,tutor2_option_B_text,tutor2_option_B_rationale,tutor2_option_B_is_correct,tutor2_option_C_text,tutor2_option_C_rationale,tutor2_option_C_is_correct,tutor2_option_D_text,tutor2_option_D_rationale,tutor2_option_D_is_correct,tutor3_policy,tutor3_question_text,tutor3_option_A_text,tutor3_option_A_rationale,tutor3_option_A_is_correct,tutor3_option_B_text,tutor3_option_B_rationale,tutor3_option_B_is_correct,tutor3_option_C_text,tutor3_option_C_rationale,tutor3_option_C_is_correct,tutor3_option_D_text,tutor3_option_D_rationale,tutor3_option_D_is_correct
7,operation_order_algebra,geometry_angles_shapes,Multiplying and Dividing with Decimals,\( 43.2 \div 10= \),\( 4.32 \),"Dividing by 10 moves decimal one place left, resulting in 4.32.",True,\( 0.432 \),Divided by 100 rather than 10,False,\( 33.2 \),Subtracts instead of divides,False,\( 43.02 \),"When dividing a decimal by a multiple of 10, just divides the fractional place values",False,llm_gpt5codex_nogold_nonadaptive,"Tom and Katie are discussing how to order decimals.

Tom says \( 0.60 \) is greater than \( 0.06 \)

Katie says \( 0.5993 \) is greater than \( 0.5399 \)

Who is correct?",Only Tom,Does not know how to compare decimal numbers,False,Only Katie,Does not know how to compare decimal numbers,False,Both Tom and Katie,Correctly identifies both comparisons by comparing digits from left to right.,True,Neither is correct,Does not know how to compare decimal numbers,False,llm_qwen8b_nogold_nonadaptive,\( \left(\begin{array}{l}2 \\ 3\end{array}\right)+\left(\begin{array}{c}-1 \\ 0\end{array}\right)= \),\( \left(\begin{array}{l}1 \\ 3\end{array}\right) \),Correctly adds corresponding components of the vectors.,True,\( \left(\begin{array}{c}-2 \\ 3\end{array}\right) \),Subtracts the second vector from the first instead of adding.,False,\( \left(\begin{array}{c}-2 \\ 0\end{array}\right) \),"When adding column vectors, multiplies rather than adds",False,\( \left(\begin{array}{l}3 \\ 3\end{array}\right) \),"Adds the vectors as if they were scalars, ignoring vector structure.",False,lemma_similarity,\( 7 \times \frac{1}{4}=7 \div ? \),\( \frac{4}{4} \),Does not know multiplying by a unit fraction is equivalent to: dividing by its denominator value,False,\( \frac{1}{4} \),"When dividing an integer by a fraction, thinks they can just multiply instead.",False,\( 4 \),Recognizes multiplying by a unit fraction is equivalent to dividing by its denominator.,True,Not possible,Does not know multiplying by a unit fraction is equivalent to: dividing by its denominator value,False
45,operation_order_algebra,geometry_angles_shapes,Function Machines,"![A function machine with 3 rectangles in a row, joined by arrows pointing from left to right. The first rectangle on the left has ""input"" written above it and ""5a + 2"" written inside it. The middle rectangle has ""✕ 2"" written inside it and the final rectangle is empty and has ""output"" written above it.]() What is the output of this function machine?",\( 10 a+2 \),Only multiplies the first term in the expansion of a bracket,False,\( 5 a+4 \),Only multiplies second term in the expansion of a bracket,False,\( 7 a+4 \),Adds instead of multiplies when multiplying algebraic terms,False,\( 10 a+4 \),"Correctly multiplies both terms in the expression by 2, resulting in 10a + 4.",True,llm_gpt5codex_nogold_nonadaptive,Which function machine will solve the equation \( x^{2}+5=14 ? \),![A function machine showing x as the input then +5 then squaring to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input square root and then -5](),"Does not follow the arrows through a function machine, changes the order of the operations asked.",False,![A function machine showing 14 as the input then squaring and +5 to give the output](),"When solving an equation, uses the same operation rather than the inverse.",False,![A function machine showing x as the input then squaring then +5 to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input -5 and then square root](),Applies inverse operations in the correct order to reverse the function machine steps.,True,![A function machine showing x as the input then x2 then +5 to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input  -5 and then divide by 2](),Mixes up squaring and multiplying by 2 or doubling,False,llm_qwen8b_nogold_nonadaptive,"John rotates rectangle \( A B C D 90^{\circ} \) clockwise from the centre \( (3,2) \). What error has he made? ![A positive, coordinate grid with two rectangles drawn on it. The rectangle labelled ABCD has the coordinates: A(1,3) B(1,5) C(2,5) and D(2,3). The other rectangle has the coordinates: (4,3) (6,3) (6,2) and (4,2).]()","He hasn't, this is correct","Believes the rotation is correct, not recognising the error in the position of the rotated rectangle",False,He has translated by the vector \( \left(\begin{array}{l}3 \\ 2\end{array}\right) \),Does not recognise that a shape translated would not change orientation,False,He has rotated \( 90^{\circ} \) anticlockwise,Mixes up clockwise and anticlockwise,False,He has used the wrong centre,"Incorrectly identifies the centre of rotation as the issue, not the direction or position of the rectangle",True,lemma_similarity,"What is the equation of this line? ![A set of axes with a line drawn on. The lines passes through the points: (0,2) (1,2) (2,2) (3,2) and (4,2)]()",\( x=2 \),Thinks x = ? is a horizontal line through ?,False,\( x=2 y \),"Believes the equation of a horizontal line is in the form x = ay, where a is the y intercept",False,\( y=2 x \),Includes the x variable when giving the equation of a horizontal line,False,\( y=2 \),"Recognizes that a horizontal line has a constant y-value, so y equals the y-coordinate of the points.",True
51,operation_order_algebra,geometry_angles_shapes,Mental Multiplication and Division,\( 427 \times 6= \),\( 240+120+42 \),"When multiplying multiples of ten and the answer requires an extra digit, leaves off that extra digit",False,\( 2400+120+47 \),"Confuses place value, adding 47 instead of 42 for the units place.",False,\( 400+20+7 \),"Misunderstands the grid method, only breaking down the number into its digits without multiplying by 6.",False,\( 2400+120+42 \),"Correctly applies the grid method, breaking down 427 into 400, 20, and 7 before multiplying by 6.",True,llm_gpt5codex_nogold_nonadaptive,"Sunita wants to buy a sandwich and a tea.

How much money will she need? Joe's Café
Sandwich \( £3.25 \)
Pasty \( £ 2.99 \)
Cake \( £ 2.25 \)
Soup \( £ 3.19 \)
Tea \( £ 1.55 \)
Coffee \( £ 1.95 \)
Orange \( 89\)p",£5.70,When adding powers of 10 adds onto the wrong column,False,£4.80,Correctly adds £3.25 and £1.55 by aligning decimal points and summing each column.,True,£5.80,"Adds £3.25 and £2.55, possibly misreading the tea price as £2.55 instead of £1.55.",False,£4.70,"When two digits sum to 10 or more during an addition problem, does not add one to the preceding digit",False,llm_qwen8b_nogold_nonadaptive,\( \left(\begin{array}{l}2 \\ 3\end{array}\right)+\left(\begin{array}{c}-1 \\ 0\end{array}\right)= \),\( \left(\begin{array}{l}1 \\ 3\end{array}\right) \),Correctly adds corresponding components of the vectors.,True,\( \left(\begin{array}{c}-2 \\ 3\end{array}\right) \),Subtracts the second vector from the first instead of adding.,False,\( \left(\begin{array}{c}-2 \\ 0\end{array}\right) \),"When adding column vectors, multiplies rather than adds",False,\( \left(\begin{array}{l}3 \\ 3\end{array}\right) \),"Adds the vectors as if they were scalars, ignoring vector structure.",False,lemma_similarity,\( 7 \times \frac{1}{4}=7 \div ? \),\( \frac{4}{4} \),Does not know multiplying by a unit fraction is equivalent to: dividing by its denominator value,False,\( \frac{1}{4} \),"When dividing an integer by a fraction, thinks they can just multiply instead.",False,\( 4 \),Recognizes multiplying by a unit fraction is equivalent to dividing by its denominator.,True,Not possible,Does not know multiplying by a unit fraction is equivalent to: dividing by its denominator value,False
200,operation_order_algebra,geometry_angles_shapes,Factorising into a Single Bracket,What should replace the circle when this expression is fully factorised? \( 3 a^{2}+2 a \equiv \bigstar(\triangle a+\bigcirc) \),\( \bigcirc=2 \),Correctly identifies the constant term after factoring out the common factor.,True,\( \bigcirc=a \),Confuses the variable part with the constant term in the factorised expression.,False,\( \bigcirc=2 a \),Believes only the first term needs to be divided when factorising an expression,False,\( \bigcirc=6 \),"Divides the coefficients incorrectly, likely by adding instead of multiplying.",False,llm_gpt5codex_nogold_nonadaptive,\( 7 \times \frac{1}{4}=7 \div ? \),\( \frac{4}{4} \),Does not know multiplying by a unit fraction is equivalent to: dividing by its denominator value,False,\( \frac{1}{4} \),"When dividing an integer by a fraction, thinks they can just multiply instead.",False,\( 4 \),Recognizes multiplying by a unit fraction is equivalent to dividing by its denominator.,True,Not possible,Does not know multiplying by a unit fraction is equivalent to: dividing by its denominator value,False,llm_qwen8b_nogold_nonadaptive,Which function machine will solve the equation \( x^{2}+5=14 ? \),![A function machine showing x as the input then +5 then squaring to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input square root and then -5](),"Does not follow the arrows through a function machine, changes the order of the operations asked.",False,![A function machine showing 14 as the input then squaring and +5 to give the output](),"When solving an equation, uses the same operation rather than the inverse.",False,![A function machine showing x as the input then squaring then +5 to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input -5 and then square root](),Applies inverse operations in the correct order to reverse the function machine steps.,True,![A function machine showing x as the input then x2 then +5 to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input  -5 and then divide by 2](),Mixes up squaring and multiplying by 2 or doubling,False,lemma_similarity,"\(
\frac{7}{10}-\frac{2}{5}=\frac{\bigstar}{10}
\)
What should replace the star?",\( 11 \),Student adds numerators directly without adjusting denominators.,False,\( 5 \),"When subtracting fractions, subtracts the numerators and denominators",False,\( 3 \),Student correctly subtracts numerators after converting to common denominators.,True,\( 9 \),Does not find a common denominator when adding/subtracting fractions,False
402,operation_order_algebra,geometry_angles_shapes,Simplifying Fractions,"Simplify fully (if possible):
\(
\frac{13}{78}
\) Simplify fully (if possible): \( \frac{13}{78} \)",\( \frac{1}{7} \) \( \frac{1}{7} \),Divides numerator and denominator by 13 but incorrectly simplifies to 1/7 instead of 1/6.,False,\( \frac{1}{6} \) \( \frac{1}{6} \),Divides numerator and denominator by 13 correctly to simplify to 1/6.,True,\( \frac{1}{66} \) \( \frac{1}{66} \),Simplifies a fraction by adding or subtracting the same amount from the numerator  and denominator,False,Cannot be simplified Cannot be simplified,Assumes fractions with prime numerators cannot be simplified,False,llm_gpt5codex_nogold_nonadaptive,"Complete the missing value. ![A circle with two other circles below it, connected to the top circle by lines. The top circle has 60% in, one of the bottom circles has 2/5, and the other is blank.]()",\( 100 \% \),Identifies the wrong part of a fraction model as the whole,False,\( 60 \% \),Believes to complete a part whole model you select a value already given in the model,False,\( \frac{2}{10} \),Correctly converts 2/5 to a fraction with denominator 10 to match the percentage format.,True,\( 0.4 \),Believes to complete a part whole model you select a value already given in the model,False,llm_qwen8b_nogold_nonadaptive,"James and Cameron are watching a film. They pause it with one sixth left to watch.

What is the ratio for how much they have watched to how much they have yet to see? ![An image of a television]()",5:1,"Recognizes that 5/6 has been watched, so ratio is 5:1.",True,1:5,Gets order of ratio wrong,False,\( 6: 1 \),"Uses the denominator when converting from fractions to ratio, rather than numerator.",False,1:6,"Confuses the remaining fraction with the watched portion, using 1:6.",False,lemma_similarity,\( 7 \times \frac{1}{4}=7 \div ? \),\( \frac{4}{4} \),Does not know multiplying by a unit fraction is equivalent to: dividing by its denominator value,False,\( \frac{1}{4} \),"When dividing an integer by a fraction, thinks they can just multiply instead.",False,\( 4 \),Recognizes multiplying by a unit fraction is equivalent to dividing by its denominator.,True,Not possible,Does not know multiplying by a unit fraction is equivalent to: dividing by its denominator value,False
470,operation_order_algebra,geometry_angles_shapes,Written Subtraction,"What is the answer to this subtraction problem? ![\begin{tabular}{r|r|}
\( 503 \) \\
\( -\quad 98 \) \\
\hline
\end{tabular}]()",\( 495 \),"Student subtracts 98 from 503 without borrowing, leading to 495.",False,\( 415 \),"When “borrowing” during a subtraction problem, does not subtract one from the preceding digit",False,\( 405 \),"Correctly subtracts 98 from 503 using borrowing, resulting in 405.",True,\( 595 \),Subtracts the smallest digit from the largest digit,False,llm_gpt5codex_nogold_nonadaptive,"What is the size of angle \( q \) ? ![A long straight line with two shorter lines joining it, but not crossing it. Where the line on the left joins it forms two angles, q on the left, 126 degrees on the right. Where the line on the right joins it forms two angles, the left is unmarked, 37 degrees on the right.]()",\( 37^{\circ} \),Thinks angles which look the same on diagram will be equal,False,\( 54^{\circ} \),"Correctly calculates angle using supplementary angle fact, 180° - 126° = 54°",True,\( 17^{\circ} \),Misinterprets the meaning of angles on a straight line angle fact,False,\( 64^{\circ} \),"When “borrowing” during a subtraction problem, does not subtract one from the preceding digit",False,llm_qwen8b_nogold_nonadaptive,"John has been asked to work out the answer to:
\[
231 \div 4
\]
He gets the answer \( 57 \) remainder \( 3 \)
What is the exact value of that remainder?",\( 3 \),Does not understand that a remainder can be written as a fraction,False,\( 0.34 \),Does not understand remainders in division,False,\( 0.3 \),Writes the remainder as the digit after the decimal point,False,\( 0.75 \),"Converts remainder 3 to decimal by dividing by divisor 4, resulting in 0.75.",True,lemma_similarity,"\begin{tabular}{|l|}
\hline Exchange rates \\
\\
\( £ 1=€ 1.17 \) \\
\( £ 1=\$ 1.31 \)
\end{tabular} How much is \( \$ 5 \) worth in pounds ( \( £ \) )?",\( 6.55 \),Does not know how to calculate with exchange rates,False,\( 4.27 \),Student may have inverted the exchange rate and divided instead of multiplying.,False,\( 5 \),Does not know how to calculate with exchange rates,False,\( 3.82 \),Correctly uses the exchange rate to convert dollars to pounds.,True
566,operation_order_algebra,geometry_angles_shapes,Rearranging Formula and Equations,"Tom and Katie are discussing rearranging \( p=\sqrt{5-q} \) to make \( q \) the subject Tom says a correct first line of working could be: \( p^{2}=5-q \) Katie says a correct first line of working could be: \( p+\sqrt{q}=\sqrt{5} \)
Who is correct?",Only Tom,"Tom correctly squares both sides to eliminate the square root, Katie incorrectly applies the square root to individual terms.",True,Only Katie,"Thinks that the square root of an expression square roots each term in the expression, rather than square rooting the whole expression",False,Both Tom and Katie,"Thinks that the square root of an expression square roots each term in the expression, rather than square rooting the whole expression",False,Neither is correct,Student believes squaring both sides is incorrect and may think square root applies to each term separately.,False,llm_gpt5codex_nogold_nonadaptive,Which function machine will solve the equation \( x^{2}+5=14 ? \),![A function machine showing x as the input then +5 then squaring to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input square root and then -5](),"Does not follow the arrows through a function machine, changes the order of the operations asked.",False,![A function machine showing 14 as the input then squaring and +5 to give the output](),"When solving an equation, uses the same operation rather than the inverse.",False,![A function machine showing x as the input then squaring then +5 to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input -5 and then square root](),Applies inverse operations in the correct order to reverse the function machine steps.,True,![A function machine showing x as the input then x2 then +5 to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input  -5 and then divide by 2](),Mixes up squaring and multiplying by 2 or doubling,False,llm_qwen8b_nogold_nonadaptive,"One of these quadratic equations will give no real solutions.
Which one?",\( \frac{-6 \pm \sqrt{-12}}{3} \),"The equation correctly shows a negative discriminant, indicating no real solutions.",True,\( \frac{-6 \pm \sqrt{12}}{-3} \),Believes the discriminant must be a perfect square for an equation to have real solutions,False,\( \frac{-6 \pm \sqrt{1200}}{3} \),Believes the discriminant must be a perfect square for an equation to have real solutions,False,\( \frac{-6 \pm \sqrt{0}}{3} \),Believes that a discriminant of 0 means there are no real solutions,False,lemma_similarity,"Tom and Katie are discussing \( \boldsymbol{y}=\mathbf{3}^{\boldsymbol{x}} \)
Tom says there is no value of \( x \) that can make \( y \) negative.
Katie says there is no value of \( x \) that can make \( y \) equal to \( 0 \).
Who is correct?",Only Tom,Believes negative exponents produce negative values for y.,False,Only Katie,Believes a negative power results in a negative answer,False,Both Tom and Katie,Understands 3^x is always positive and never zero.,True,Neither is correct,Thinks negative exponents can make y zero or negative.,False
580,operation_order_algebra,geometry_angles_shapes,Mental Multiplication and Division,"Tom and Katie are discussing ways to calculate \( 59 \times 4 \) mentally
Tom doubles \( 59 \) and then doubles the answer
Katie does \( 60 \times 4 \) and then subtracts \( 4 \) from the answer
Who would get the correct answer?","Only
Tom",Does not think that the compensation strategy for the multiplication of 2 numbers is valid.,False,Only Katie,Thinks that doubling and then doubling again is not the same as multiplying by 4,False,Both Tom and Katie,Both methods are valid strategies for mental multiplication.,True,Neither is correct,Believes neither method is correct due to misunderstanding mental calculation strategies.,False,llm_gpt5codex_nogold_nonadaptive,Which function machine will solve the equation \( x^{2}+5=14 ? \),![A function machine showing x as the input then +5 then squaring to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input square root and then -5](),"Does not follow the arrows through a function machine, changes the order of the operations asked.",False,![A function machine showing 14 as the input then squaring and +5 to give the output](),"When solving an equation, uses the same operation rather than the inverse.",False,![A function machine showing x as the input then squaring then +5 to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input -5 and then square root](),Applies inverse operations in the correct order to reverse the function machine steps.,True,![A function machine showing x as the input then x2 then +5 to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input  -5 and then divide by 2](),Mixes up squaring and multiplying by 2 or doubling,False,llm_qwen8b_nogold_nonadaptive,"Here are the depths below sea level of \( 3 \) creatures:
Starfish: \( -7 m \)
Shark: \( -9 m \)
Dolphin: \( -8.3 \mathrm{~m} \)
Arrange their depths in ascending order, starting with the deepest","\( 1^{\text {st }} \) Dolphin
\( 2^{\text {nd }} \) Shark
\( 3^{\text {rd }} \) Starfish","Thinks the more digits a number has the greater it is, regardless of place value",False,\( 1^{\text {st }} \) Starfish \( 2^{\text {nd }} \) Dolphin \( 3^{\text {rd }} \) Shark,Believes negative numbers with a larger absolute value are greater,False,"\( 1^{\text {st }} \) Shark
\( 2^{\text {nd }} \) Dolphin
\( 3^{\text {rd }} \) Starfish",Correctly orders negative numbers by comparing their values from least to greatest.,True,"\( 1^{\text {st }} \) Starfish
\( 2^{\text {nd }} \) Shark
\( 3^{\text {rd }} \) Dolphin","Confuses the order of negative numbers, placing Shark before Dolphin incorrectly.",False,lemma_similarity,"Tom and Katie are discussing how to order decimals.

Tom says \( 0.60 \) is greater than \( 0.06 \)

Katie says \( 0.5993 \) is greater than \( 0.5399 \)

Who is correct?",Only Tom,Does not know how to compare decimal numbers,False,Only Katie,Does not know how to compare decimal numbers,False,Both Tom and Katie,Correctly identifies both comparisons by comparing digits from left to right.,True,Neither is correct,Does not know how to compare decimal numbers,False
612,operation_order_algebra,geometry_angles_shapes,Multiplying and Dividing with Decimals,What should replace the star? \( \bigstar \div 0.3=1.5 \),\( 0.5 \),When solving an equation thinks they divide when in fact they need to multiply,False,\( 0.45 \),"To find the dividend, multiply the quotient by the divisor, resulting in 1.5 times 0.3.",True,\( 1.8 \),When solving an equation thinks they add when in fact they need to multiply,False,\( 0.2 \),When solving an equation thinks they divide when in fact they need to multiply,False,llm_gpt5codex_nogold_nonadaptive,\( 7 \times \frac{1}{4}=7 \div ? \),\( \frac{4}{4} \),Does not know multiplying by a unit fraction is equivalent to: dividing by its denominator value,False,\( \frac{1}{4} \),"When dividing an integer by a fraction, thinks they can just multiply instead.",False,\( 4 \),Recognizes multiplying by a unit fraction is equivalent to dividing by its denominator.,True,Not possible,Does not know multiplying by a unit fraction is equivalent to: dividing by its denominator value,False,llm_qwen8b_nogold_nonadaptive,"Jacob makes a conjecture: If you have two different numbers, \( P \) and \( Q \), the order you divide does not matter. \( P \div Q=Q \div P \) Is Jacob's conjecture...",Always true,Believes division is commutative,False,Sometimes true,Believes division is sometimes commutative,False,Never true,Recognizes division is not commutative and provides correct conclusion.,True,"I don't
know",Expresses uncertainty without providing reasoning or evidence.,False,lemma_similarity,"\(
\frac{7}{10}-\frac{2}{5}=\frac{\bigstar}{10}
\)
What should replace the star?",\( 11 \),Student adds numerators directly without adjusting denominators.,False,\( 5 \),"When subtracting fractions, subtracts the numerators and denominators",False,\( 3 \),Student correctly subtracts numerators after converting to common denominators.,True,\( 9 \),Does not find a common denominator when adding/subtracting fractions,False
676,operation_order_algebra,geometry_angles_shapes,Simplifying Expressions by Collecting Like Terms,"Simplify, if possible:
\[
e+e+e
\]",\( e^{3} \),"Confuses adding 3 with cubing, in algebra",False,e3,Writes the variable before the coefficient in an algebraic term,False,\( 3 e \),Correctly combines like terms by adding coefficients of the variable e.,True,Does not simplify,Does not understand when like terms can be collected,False,llm_gpt5codex_nogold_nonadaptive,"What is the equation of this line? ![A set of axes with a line drawn on. The lines passes through the points: (0,2) (1,2) (2,2) (3,2) and (4,2)]()",\( x=2 \),Thinks x = ? is a horizontal line through ?,False,\( x=2 y \),"Believes the equation of a horizontal line is in the form x = ay, where a is the y intercept",False,\( y=2 x \),Includes the x variable when giving the equation of a horizontal line,False,\( y=2 \),"Recognizes that a horizontal line has a constant y-value, so y equals the y-coordinate of the points.",True,llm_qwen8b_nogold_nonadaptive,\( \left(\begin{array}{l}2 \\ 3\end{array}\right)+\left(\begin{array}{c}-1 \\ 0\end{array}\right)= \),\( \left(\begin{array}{l}1 \\ 3\end{array}\right) \),Correctly adds corresponding components of the vectors.,True,\( \left(\begin{array}{c}-2 \\ 3\end{array}\right) \),Subtracts the second vector from the first instead of adding.,False,\( \left(\begin{array}{c}-2 \\ 0\end{array}\right) \),"When adding column vectors, multiplies rather than adds",False,\( \left(\begin{array}{l}3 \\ 3\end{array}\right) \),"Adds the vectors as if they were scalars, ignoring vector structure.",False,lemma_similarity,For which of these questions would you calculate \( 50+25 \) ?,Decrease \( 50 \) by \( 25 \).,Adds rather than subtracts when answering worded problems,False,Increase \( 50 \) by \( 25 \).,Recognizes 'increase' as a command word indicating addition.,True,Find the product of \( 50 \) and \( 25 \).,Adds rather than multiplies when asked for a product,False,How many \( 25 \) s are there in \( 50 ? \),Adds rather than divides when answering worded problems,False
